"ExperimentalGroup","AnimalID","Sex","Treatment","BS_Original","EvictionStatus","IsolationDate","IsolationPeriod","PairingDate","EvictionDate","EvictionPairingDayDiff","Eviction_GS","EvictionCategory","FirstDCParturitionDate","UrineDate","UrineNumber","UrineDelay","VolumeCollected","NextParturition_ParturitionDate","NextParturition_ParturitionColony"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-08-25,33894,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-09-02,33995,NA,0.5,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-09-08,34085,NA,1,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-09-16,34203,NA,0.2,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-09-22,34300,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-09-29,34383,NA,1.4,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-10-13,34593,NA,1.6,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-10-15,34623,NA,1.5,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-10-17,34652,NA,0.4,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-10-19,34681,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-10-21,34712,NA,1.4,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-10-23,34736,NA,1.1,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-10-25,34755,NA,0.7,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-10-27,34786,NA,1.8,2023-05-09,"Guinness"
"Guinness","RSF008","F","Queen","Helper","Evictor",2022-05-06,28,2022-06-03,2022-10-14,133,"PreFirstConception","Late",2023-05-09,2022-11-12,34981,NA,0.9,2023-05-09,"Guinness"
